Longitude,IBTrACS_N,IBTrACS_S,week1_N,week1_S,week2_N,week2_S,week3_N,week3_S,week4_N,week4_S,week5_N,week5_S,week6_N,week6_S,week7_N,week7_S,week8_N,week8_S
310,0.9,0,0.6125,0.0125,0.634375,0.025,0.709375,0.06875,0.646875,0.065625,0.68125,0.06875,0.6625,0.096875,0.61875,0.0625,0.78125,0.05625
315,0.85,0,0.325,0.06875,0.515625,0.175,0.596875,0.18125,0.634375,0.175,0.528125,0.19375,0.578125,0.1875,0.559375,0.2,0.61875,0.196875
320,0.6,0,0.28125,0.025,0.525,0.228125,0.46875,0.196875,0.4875,0.16875,0.4125,0.175,0.44375,0.20625,0.409375,0.19375,0.45,0.175
325,0.95,0,0.253125,0.028125,0.29375,0.08125,0.35,0.115625,0.33125,0.121875,0.26875,0.14375,0.253125,0.134375,0.290625,0.125,0.30625,0.11875
330,0.8,0,0.159375,0.028125,0.21875,0.028125,0.30625,0.025,0.203125,0.065625,0.11875,0.046875,0.18125,0.0625,0.15,0.053125,0.1875,0.059375
335,0.7,0,0.171875,0.003125,0.21875,0.021875,0.19375,0.0375,0.14375,0.021875,0.125,0.040625,0.090625,0.034375,0.1,0.028125,0.09375,0.03125
340,0.25,0,0.065625,0.003125,0.328125,0.00625,0.28125,0.00625,0.165625,0.0125,0.15625,0.003125,0.1375,0.015625,0.125,0.009375,0.1375,0.01875
345,0,0,0.003125,0,0.046875,0,0.04375,0,0.01875,0.009375,0.00625,0,0.028125,0.003125,0.025,0.00625,0.021875,0.00625
350,0,0,0,0,0,0.003125,0,0.003125,0,0.003125,0.003125,0.00625,0,0,0,0.003125,0.003125,0
355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003125
360,0,0,0,0,0,0,0,0,0.003125,0,0,0,0,0,0,0,0,0
