Basin,IBTrACS,week1,week2,week3,week4,week5,week6,week7
WP,63.52459016,62.93575339,63.15172818,62.57551349,60.93381686,57.54955899,54.79889905,53.9788637
EP,20.87227414,11.58432709,11.60626836,11.22715405,9.354604786,9.21902525,8.259860789,10.02020202
NA_b,56.35738832,60.94771242,59.66411314,56.4258312,55.79613591,55.72390572,54.72928898,55.87949466
NI,68.31683168,76.32681564,81.43656716,87.41027057,86.74094708,85.77283372,84.86180905,83.61618799
SH,35.53191489,39.58735807,41.39614763,43.24750623,41.02702071,38.85514289,37.92754796,36.73725895
